Date,SUPERT_7_2.0,SUPERTd_7_2.0,SUPERTl_7_2.0,SUPERTs_7_2.0
2023-01-02 00:00:00+05:30,0.0,1,,
2023-01-03 00:00:00+05:30,,1,,
2023-01-04 00:00:00+05:30,,1,,
2023-01-05 00:00:00+05:30,,1,,
2023-01-06 00:00:00+05:30,,1,,
2023-01-09 00:00:00+05:30,,1,,
2023-01-10 00:00:00+05:30,,1,,
2023-01-11 00:00:00+05:30,3027.138907464922,1,3027.138907464922,
2023-01-12 00:00:00+05:30,3068.061609135573,1,3068.061609135573,
2023-01-13 00:00:00+05:30,3076.9887486036,1,3076.9887486036,
2023-01-16 00:00:00+05:30,3132.3289861547837,1,3132.3289861547837,
2023-01-17 00:00:00+05:30,3160.721858801299,1,3160.721858801299,
2023-01-18 00:00:00+05:30,3209.6499527913934,1,3209.6499527913934,
2023-01-19 00:00:00+05:30,3209.6499527913934,1,3209.6499527913934,
2023-01-20 00:00:00+05:30,3211.068377218898,1,3211.068377218898,
2023-01-23 00:00:00+05:30,3220.1529532817376,1,3220.1529532817376,
2023-01-24 00:00:00+05:30,3272.3684537856657,1,3272.3684537856657,
2023-01-25 00:00:00+05:30,3272.3684537856657,1,3272.3684537856657,
2023-01-27 00:00:00+05:30,3272.3684537856657,1,3272.3684537856657,
2023-01-30 00:00:00+05:30,3272.3684537856657,1,3272.3684537856657,
2023-01-31 00:00:00+05:30,3272.3684537856657,1,3272.3684537856657,
2023-02-01 00:00:00+05:30,3272.3684537856657,1,3272.3684537856657,
2023-02-02 00:00:00+05:30,3272.3684537856657,1,3272.3684537856657,
2023-02-03 00:00:00+05:30,3301.1428605161077,1,3301.1428605161077,
2023-02-06 00:00:00+05:30,3301.1428605161077,1,3301.1428605161077,
2023-02-07 00:00:00+05:30,3311.222258295929,1,3311.222258295929,
2023-02-08 00:00:00+05:30,3338.7059067173323,1,3338.7059067173323,
2023-02-09 00:00:00+05:30,3359.8342410417235,1,3359.8342410417235,
2023-02-10 00:00:00+05:30,3364.3298824561093,1,3364.3298824561093,
2023-02-13 00:00:00+05:30,3364.3298824561093,1,3364.3298824561093,
2023-02-14 00:00:00+05:30,3364.3298824561093,1,3364.3298824561093,
2023-02-15 00:00:00+05:30,3364.3298824561093,1,3364.3298824561093,
2023-02-16 00:00:00+05:30,3382.717396716578,1,3382.717396716578,
2023-02-17 00:00:00+05:30,3382.717396716578,1,3382.717396716578,
2023-02-20 00:00:00+05:30,3382.717396716578,1,3382.717396716578,
2023-02-21 00:00:00+05:30,3382.717396716578,1,3382.717396716578,
2023-02-22 00:00:00+05:30,3473.642591357679,-1,,3473.642591357679
2023-02-23 00:00:00+05:30,3473.642591357679,-1,,3473.642591357679
2023-02-24 00:00:00+05:30,3458.2689682052464,-1,,3458.2689682052464
2023-02-27 00:00:00+05:30,3412.3492069863973,-1,,3412.3492069863973
2023-02-28 00:00:00+05:30,3412.3492069863973,-1,,3412.3492069863973
2023-03-01 00:00:00+05:30,3412.3492069863973,-1,,3412.3492069863973
2023-03-02 00:00:00+05:30,3412.3492069863973,-1,,3412.3492069863973
2023-03-03 00:00:00+05:30,3408.9620349933266,-1,,3408.9620349933266
2023-03-06 00:00:00+05:30,3408.9620349933266,-1,,3408.9620349933266
2023-03-08 00:00:00+05:30,3408.9620349933266,-1,,3408.9620349933266
2023-03-09 00:00:00+05:30,3408.9620349933266,-1,,3408.9620349933266
2023-03-10 00:00:00+05:30,3374.801545892973,-1,,3374.801545892973
2023-03-13 00:00:00+05:30,3374.801545892973,-1,,3374.801545892973
2023-03-14 00:00:00+05:30,3338.042489713145,-1,,3338.042489713145
2023-03-15 00:00:00+05:30,3307.504611248404,-1,,3307.504611248404
2023-03-16 00:00:00+05:30,3271.6841960725446,-1,,3271.6841960725446
2023-03-17 00:00:00+05:30,3261.829321879116,-1,,3261.829321879116
2023-03-20 00:00:00+05:30,3216.9363370148308,-1,,3216.9363370148308
2023-03-21 00:00:00+05:30,3208.7083660169806,-1,,3208.7083660169806
2023-03-22 00:00:00+05:30,3197.6669492606507,-1,,3197.6669492606507
2023-03-23 00:00:00+05:30,3191.2682425617445,-1,,3191.2682425617445
2023-03-24 00:00:00+05:30,3191.2682425617445,-1,,3191.2682425617445
2023-03-27 00:00:00+05:30,3191.2682425617445,-1,,3191.2682425617445
2023-03-28 00:00:00+05:30,3188.0946925489043,-1,,3188.0946925489043
2023-03-29 00:00:00+05:30,3182.2814596992207,-1,,3182.2814596992207
2023-03-31 00:00:00+05:30,3182.2814596992207,-1,,3182.2814596992207
2023-04-03 00:00:00+05:30,3182.2814596992207,-1,,3182.2814596992207
2023-04-05 00:00:00+05:30,3051.739968733786,1,3051.739968733786,
2023-04-06 00:00:00+05:30,3067.7828349463675,1,3067.7828349463675,
2023-04-10 00:00:00+05:30,3075.1410241579733,1,3075.1410241579733,
2023-04-11 00:00:00+05:30,3075.1410241579733,1,3075.1410241579733,
2023-04-12 00:00:00+05:30,3075.1410241579733,1,3075.1410241579733,
2023-04-13 00:00:00+05:30,3075.1410241579733,1,3075.1410241579733,
2023-04-17 00:00:00+05:30,3075.1410241579733,1,3075.1410241579733,
2023-04-18 00:00:00+05:30,3075.1410241579733,1,3075.1410241579733,
2023-04-19 00:00:00+05:30,3183.1942257184355,-1,,3183.1942257184355
2023-04-20 00:00:00+05:30,3164.3130106233807,-1,,3164.3130106233807
2023-04-21 00:00:00+05:30,3164.3130106233807,-1,,3164.3130106233807
2023-04-24 00:00:00+05:30,3164.3130106233807,-1,,3164.3130106233807
